measure_name,location_id,location_name,sex_id,sex_name,age_group_id,age_group_name,year_id,val,upper,lower
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,1990,0.450606958,0.453929652,0.446914725
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,1990,0.106411145,0.108622783,0.104414724
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,1990,0.278178785,0.280234662,0.27623627
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,1991,0.447211542,0.450213749,0.443669604
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,1991,0.105164463,0.107275863,0.103292687
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,1991,0.275964039,0.277921494,0.274052562
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,1992,0.443359069,0.446333373,0.440022564
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,1992,0.103950926,0.105943329,0.102128138
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,1992,0.273515671,0.275394503,0.271687937
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,1993,0.43908631,0.4420123,0.43597233
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,1993,0.102775393,0.104707949,0.101029923
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,1993,0.270849362,0.272660227,0.269056436
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,1994,0.43422449,0.437042769,0.431207121
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,1994,0.101646199,0.103568768,0.09996444
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,1994,0.267873504,0.269695183,0.266183741
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,1995,0.429031484,0.431821982,0.426283188
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,1995,0.100609569,0.102485896,0.098950286
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,1995,0.264747931,0.266475379,0.263146823
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,1996,0.423555972,0.426379936,0.420783293
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,1996,0.099598067,0.101427548,0.097942871
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,1996,0.261474274,0.263202665,0.259853577
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,1997,0.417843468,0.420584418,0.415109848
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,1997,0.09852,0.100291337,0.096879275
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,1997,0.258034485,0.259730028,0.256437222
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,1998,0.412128445,0.414746283,0.409487983
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,1998,0.097383289,0.099077478,0.095829154
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,1998,0.254550255,0.256117328,0.253020608
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,1999,0.406464498,0.408995939,0.403881547
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,1999,0.096171373,0.097843782,0.094644391
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,1999,0.251045967,0.252603417,0.249544887
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2000,0.400831147,0.403344681,0.398427902
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2000,0.094889501,0.096549208,0.093382952
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2000,0.247520977,0.24905099,0.246008933
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2001,0.395478325,0.397943272,0.393088897
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2001,0.09353707,0.095110014,0.092097876
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2001,0.244108184,0.245590785,0.242538042
Age-Standardized Smoking Prevalence,1,Global,1,Male,29,15+ years,2002,0.390431831,0.392836374,0.388047134
Age-Standardized Smoking Prevalence,1,Global,2,Female,29,15+ years,2002,0.092142666,0.093724092,0.090700248
Age-Standardized Smoking Prevalence,1,Global,3,Both,29,15+ years,2002,0.240839136,0.242294078,0.23924926
