Name,Keph level,Facility type,Owner,Regulatory_body,Beds,Cots,County,Constituency,Sub_county,Ward,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night
Kaka Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,None,0,0,KAKAMEGA,LURAMBI,lurambi,SHEYWE,No,No,No,No
KOPANGA DISPENSARY,Level 2,Basic primary health care facility,Ministry of Health,None,2,1,MIGORI,SUNA WEST,suna west sub county,WASIMBETE,No,No,No,No
Fairview Medical Centre,Level 2,Secondary care hospitals,Private Practice - Unspecified,Nursing Council of Kenya (Private Practice),4,0,"NAIROBI",EMBAKASI CENTRAL,embakasi central,KAYOLE SOUTH,No,No,Yes,No
RADIANT GROUP OF HOSPITALS-UMOJA,Level 3,Secondary care hospitals,Private Practice - Unspecified,Kenya MPDB - Private Practice,34,0,"NAIROBI",EMBAKASI WEST,embakasi west,UMOJA II,Yes,Yes,Yes,Yes
Songot Medical Clinic,Level 2,Basic primary health care facility,Private Practice - Nurse / Midwifery,None,0,0,TURKANA,TURKANA WEST,turkana west,LOKICHOGGIO,No,No,No,No
Vital Solutions Health Centre,Level 3,Basic primary health care facility,Non-Governmental Organizations,Nursing Council of Kenya (Private Practice),3,0,"NAROK","NAROK WEST",narok west,SIANA,No,No,No,No
St.Ann's Catholic Dispensary Kapsorok,Level 2,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Catholic Secretariat,None,4,4,KERICHO,SIGOWET/SOIN,sigowet/soin,SOLIAT,No,No,Yes,No
Ankara Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,4,0,GARISSA,GARISSA TOWNSHIP,garissa,WABERI,No,No,No,No
George Mudenyo Kadima Nasio Trust (Mumias West),Level 2,Basic primary health care facility,Private Practice - Clinical Officer,None,2,0,KAKAMEGA,MUMIAS WEST,mumias west,ETENJE,No,No,No,No
Nazareth Medical Services-Githurai,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,"NAIROBI",ROYSAMBU,roysambu,GITHURAI,No,Yes,Yes,Yes
Penda Medical Care-Kahawa West,Level 2,Basic primary health care facility,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,"NAIROBI",ROYSAMBU,roysambu,KAHAWA WEST,No,Yes,Yes,No
The Mater Hospital-Satelite Clinic(TRM),Level 2,Basic primary health care facility,Kenya Episcopal Conference-Catholic Secretariat,None,0,0,"NAIROBI",ROYSAMBU,roysambu,ROYSAMBU,No,Yes,Yes,Yes
"NAMUNYAK MEDICAL CENTRE",Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,None,14,0,KAJIADO,KAJIADO EAST,kajiado east,KAPUTIEI NORTH,Yes,Yes,Yes,Yes
THE MAZIRA MEMORIAL HOSPITAL,Level 2,Dispensaries and clinic-out patient only,Private Company,None,2,0,KAJIADO,KAJIADO EAST,kajiado east,OLOOSIRKON/SHOLINKE,No,No,No,Yes
PREMIERCARE DIAGNOSTICS NAROK LIMITED,Level 4,Radiology Clinic,Private Company,None,0,0,"NAROK","NAROK NORTH",narok north,"NAROK TOWN",No,No,No,No
Itoleka Smartext Medical Services,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,KITUI,KITUI CENTRAL,kitui central,KYANGWITHYA WEST,No,Yes,Yes,No
Africare Limited Embakasi Clinic,Level 2,Basic primary health care facility,Private Enterprise (Institution),Kenya MPDB - Private Practice,4,1,"NAIROBI",EMBAKASI SOUTH,embakasi south,IMARA DAIMA,No,Yes,Yes,No
AVENUE HEALTHCARE GREENSPAN,Level 3,Basic primary health care facility,Private Enterprise (Institution),Kenya MPDB - Private Practice,5,2,"NAIROBI",EMBAKASI EAST,embakasi east,UPPER SAVANNAH,No,Yes,Yes,No
Yalatani Dispensary,Level 2,Basic primary health care facility,Ministry of Health,None,0,0,KITUI,KITUI WEST,kitui west,MUTONGONI,No,No,No,No
Musuani Mdc,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,KITUI,MWINGI WEST,mwingi west,KYOME/THAANA,No,No,No,No
