Metric,Year,Value
Number of reported deaths from cholera,1994,28
Number of reported deaths from cholera,1995,39
Number of reported deaths from cholera,1971,38
Number of reported deaths from cholera,1972,0
Number of reported deaths from cholera,1974,20
Number of reported deaths from cholera,1975,74
Number of reported deaths from cholera,1976,59
Number of reported deaths from cholera,1977,0
Number of reported deaths from cholera,1978,17
Number of reported deaths from cholera,1979,2
Number of reported deaths from cholera,1980,42
Number of reported deaths from cholera,1983,53
Number of reported deaths from cholera,1984,0
Number of reported deaths from cholera,1987,12
Number of reported deaths from cholera,1989,32
Number of reported deaths from cholera,1992,100
Number of reported deaths from cholera,1996,14
Number of reported deaths from cholera,1981,108
Number of reported deaths from cholera,1982,91
Number of reported deaths from cholera,1985,102
Number of reported deaths from cholera,1986,45
Number of reported deaths from cholera,2009,264
Number of reported deaths from cholera,2008,113
Number of reported deaths from cholera,2007,67
Number of reported deaths from cholera,2006,11
Number of reported deaths from cholera,2005,21
Number of reported deaths from cholera,2004,15
Number of reported deaths from cholera,1997,555
Number of reported deaths from cholera,1998,1237
Number of reported deaths from cholera,1999,350
Number of reported deaths from cholera,2000,78
Number of reported deaths from cholera,2001,55
Number of reported deaths from cholera,2002,10
Number of reported deaths from cholera,2010,63
Number of reported deaths from cholera,2011,2
Number of suspected meningitis deaths reported,1978,145
Number of suspected meningitis deaths reported,1979,152
Number of suspected meningitis deaths reported,1980,97
Number of suspected meningitis deaths reported,1983,36
Number of suspected meningitis deaths reported,1999,4
Number of suspected meningitis deaths reported,2000,0
Number of suspected meningitis deaths reported,2001,0
Number of suspected meningitis deaths reported,2002,2
Number of suspected meningitis deaths reported,2007,43
Number of suspected meningitis deaths reported,1977,196
Number of suspected meningitis deaths reported,1981,107
Number of suspected meningitis deaths reported,1982,47
Number of suspected meningitis deaths reported,2006,20
Number of reported cases of cholera,1994,880
Number of reported cases of cholera,1995,1547
Number of reported cases of cholera,1971,239
Number of reported cases of cholera,1972,51
Number of reported cases of cholera,1974,402
Number of reported cases of cholera,1975,1093
Number of reported cases of cholera,1976,1359
Number of reported cases of cholera,1977,21
Number of reported cases of cholera,1978,673
Number of reported cases of cholera,1979,1070
Number of reported cases of cholera,1980,2808
Number of reported cases of cholera,1983,1049
Number of reported cases of cholera,1984,14
Number of reported cases of cholera,1987,255
Number of reported cases of cholera,1989,918
Number of reported cases of cholera,1992,3388
Number of reported cases of cholera,1996,482
Number of reported cases of cholera,1981,2424
Number of reported cases of cholera,1982,3498
Number of reported cases of cholera,1985,1352
Number of reported cases of cholera,1986,839
Number of reported cases of cholera,2009,11425
Number of reported cases of cholera,2008,3091
Number of reported cases of cholera,2007,1206
Number of reported cases of cholera,2006,870
Number of reported cases of cholera,2005,816
Number of reported cases of cholera,2004,870
Number of reported cases of cholera,1997,17200
Number of reported cases of cholera,1998,22432
Number of reported cases of cholera,1999,11039
Number of reported cases of cholera,2000,1157
Number of reported cases of cholera,2001,1001
Number of reported cases of cholera,2002,291
Number of reported cases of cholera,2010,3188
Number of reported cases of cholera,2011,74
Cholera case fatality rate,1994,3.18
Cholera case fatality rate,1995,2.52
Cholera case fatality rate,1971,15.9
Cholera case fatality rate,1972,0
Cholera case fatality rate,1974,4.98
Cholera case fatality rate,1975,6.77
Cholera case fatality rate,1976,4.34
Cholera case fatality rate,1977,0
Cholera case fatality rate,1978,2.53
Cholera case fatality rate,1979,0.19
Cholera case fatality rate,1980,1.5
Cholera case fatality rate,1983,5.05
Cholera case fatality rate,1984,0
Cholera case fatality rate,1987,4.71
Cholera case fatality rate,1989,3.49
Cholera case fatality rate,1992,2.95
Cholera case fatality rate,1996,2.9
Cholera case fatality rate,1981,4.46
Cholera case fatality rate,1982,2.6
Cholera case fatality rate,1985,7.54
Cholera case fatality rate,1986,5.36
Cholera case fatality rate,2009,2.31
Cholera case fatality rate,2008,3.66
Cholera case fatality rate,2007,5.56
Cholera case fatality rate,2006,1.26
Cholera case fatality rate,2005,2.57
Cholera case fatality rate,2004,1.72
Cholera case fatality rate,1997,3.23
Cholera case fatality rate,1998,5.51
Cholera case fatality rate,1999,3.17
Cholera case fatality rate,2000,6.74
Cholera case fatality rate,2001,5.49
